day,etc_mm,rainfall_mm,eff_rainfall_mm,irrigation_mm,deep_percolation_mm,runoff_mm,depletion_mm,storage_mm,irrigation_triggered
1,4.241,2.1,0.0,0.0,2.1,0.0,4.24,135.76,False
2,4.349,0.0,0.0,0.0,0.0,0.0,8.59,131.41,False
3,4.241,13.8,8.59,0.0,5.21,0.0,4.24,135.76,False
4,4.213,0.0,0.0,0.0,0.0,0.0,8.45,131.55,False
5,4.268,0.0,0.0,0.0,0.0,0.0,12.72,127.28,False
6,4.349,0.0,0.0,0.0,0.0,0.0,17.07,122.93,False
7,4.184,18.0,17.07,0.0,0.93,0.0,4.18,135.82,False
8,4.213,0.0,0.0,0.0,0.0,0.0,8.4,131.6,False
9,4.322,0.0,0.0,0.0,0.0,0.0,12.72,127.28,False
10,4.349,15.7,12.72,0.0,2.98,0.0,4.35,135.65,False
11,4.184,0.0,0.0,0.0,0.0,0.0,8.53,131.47,False
12,4.241,0.0,0.0,0.0,0.0,0.0,12.77,127.23,False
13,4.349,0.0,0.0,0.0,0.0,0.0,17.12,122.88,False
14,4.241,13.0,13.0,0.0,0.0,0.0,8.36,131.64,False
15,4.268,0.0,0.0,0.0,0.0,0.0,12.63,127.37,False
16,2.053,0.0,0.0,0.0,0.0,0.0,14.68,125.32,False
17,2.08,0.0,0.0,0.0,0.0,0.0,16.76,123.24,False
18,2.053,0.0,0.0,0.0,0.0,0.0,18.82,121.18,False
19,2.08,0.0,0.0,0.0,0.0,0.0,20.9,119.1,False
20,2.066,13.7,13.7,0.0,0.0,0.0,9.26,130.74,False
21,2.04,0.0,0.0,0.0,0.0,0.0,11.3,128.7,False
22,2.08,17.2,11.3,0.0,5.9,0.0,2.08,137.92,False
23,2.053,0.0,0.0,0.0,0.0,0.0,4.13,135.87,False
24,2.093,6.7,4.13,0.0,2.57,0.0,2.09,137.91,False
25,2.093,13.8,2.09,0.0,11.71,0.0,2.09,137.91,False
26,2.04,8.6,2.09,0.0,6.51,0.0,2.04,137.96,False
27,2.026,0.0,0.0,0.0,0.0,0.0,4.07,135.93,False
28,2.08,0.0,0.0,0.0,0.0,0.0,6.15,133.85,False
29,2.106,0.0,0.0,0.0,0.0,0.0,8.25,131.75,False
30,2.106,34.6,8.25,0.0,26.35,0.0,2.11,137.89,False
31,2.154,8.1,2.11,0.0,5.99,0.0,2.15,137.85,False
32,2.04,5.0,2.15,0.0,2.85,0.0,2.04,137.96,False
33,2.093,55.2,2.04,0.0,53.16,0.0,2.09,137.91,False
34,1.998,1.1,1.1,0.0,0.0,0.0,2.99,137.01,False
35,2.026,1.6,1.6,0.0,0.0,0.0,3.42,136.58,False
36,2.053,0.0,0.0,0.0,0.0,0.0,5.47,134.53,False
37,2.04,0.0,0.0,0.0,0.0,0.0,7.51,132.49,False
38,2.053,5.8,5.8,0.0,0.0,0.0,3.76,136.24,False
39,2.04,0.0,0.0,0.0,0.0,0.0,5.8,134.2,False
40,2.093,0.0,0.0,0.0,0.0,0.0,7.9,132.1,False
41,2.053,65.3,7.9,0.0,57.4,0.0,2.05,137.95,False
42,2.012,0.0,0.0,0.0,0.0,0.0,4.06,135.94,False
43,2.04,0.0,0.0,0.0,0.0,0.0,6.1,133.9,False
44,2.08,78.0,6.1,0.0,71.9,0.0,2.08,137.92,False
45,1.982,1.4,1.4,0.0,0.0,0.0,2.66,137.34,False
46,2.012,0.0,0.0,0.0,0.0,0.0,4.67,135.33,False
47,1.982,4.3,4.3,0.0,0.0,0.0,2.36,137.64,False
48,2.04,25.3,2.36,0.0,22.94,0.0,2.04,137.96,False
49,1.998,0.0,0.0,0.0,0.0,0.0,4.04,135.96,False
50,2.066,5.1,4.04,0.0,1.06,0.0,2.07,137.93,False
51,2.053,24.7,2.07,0.0,22.63,0.0,2.05,137.95,False
52,2.026,0.0,0.0,0.0,0.0,0.0,4.08,135.92,False
53,2.066,24.7,4.08,0.0,20.62,0.0,2.07,137.93,False
54,2.053,17.0,2.07,0.0,14.93,0.0,2.05,137.95,False
55,2.04,75.8,2.05,0.0,73.75,0.0,2.04,137.96,False
56,2.04,36.4,2.04,0.0,34.36,0.0,2.04,137.96,False
57,2.106,0.0,0.0,0.0,0.0,0.0,4.15,135.85,False
58,2.106,0.0,0.0,0.0,0.0,0.0,6.25,133.75,False
59,2.053,0.0,0.0,0.0,0.0,0.0,8.3,131.7,False
60,2.04,0.0,0.0,0.0,0.0,0.0,10.34,129.66,False
61,2.053,0.0,0.0,0.0,0.0,0.0,12.4,127.6,False
62,2.093,0.0,0.0,0.0,0.0,0.0,14.49,125.51,False
