,etc_mm_day,et_index
1,4.241,1.637
2,4.349,1.678
3,4.241,1.637
4,4.213,1.626
5,4.268,1.647
6,4.349,1.678
7,4.184,1.615
8,4.213,1.626
9,4.322,1.668
10,4.349,1.678
11,4.184,1.615
12,4.241,1.637
13,4.349,1.678
14,4.241,1.637
15,4.268,1.647
16,2.053,0.792
17,2.08,0.803
18,2.053,0.792
19,2.08,0.803
20,2.066,0.797
21,2.04,0.787
22,2.08,0.803
23,2.053,0.792
24,2.093,0.808
25,2.093,0.808
26,2.04,0.787
27,2.026,0.782
28,2.08,0.803
29,2.106,0.813
30,2.106,0.813
31,2.154,0.831
32,2.04,0.787
33,2.093,0.808
34,1.998,0.771
35,2.026,0.782
36,2.053,0.792
37,2.04,0.787
38,2.053,0.792
39,2.04,0.787
40,2.093,0.808
41,2.053,0.792
42,2.012,0.777
43,2.04,0.787
44,2.08,0.803
45,1.982,0.765
46,2.012,0.777
47,1.982,0.765
48,2.04,0.787
49,1.998,0.771
50,2.066,0.797
51,2.053,0.792
52,2.026,0.782
53,2.066,0.797
54,2.053,0.792
55,2.04,0.787
56,2.04,0.787
57,2.106,0.813
58,2.106,0.813
59,2.053,0.792
60,2.04,0.787
61,2.053,0.792
62,2.093,0.808
