day,value,is_interpolated
1,4.241,False
2,4.349,False
3,4.241,False
4,4.213,False
5,4.268,False
6,4.349,False
7,4.184,False
8,4.213,False
9,4.322,False
10,4.253,True
11,4.184,False
12,4.241,False
13,4.349,False
14,4.241,False
15,4.268,False
16,2.053,False
17,2.08,False
18,2.053,False
19,2.08,False
20,2.066,False
21,2.04,False
22,2.08,False
23,2.053,False
24,2.093,False
25,2.0665,True
26,2.04,False
27,2.026,False
28,2.08,False
29,2.106,False
30,2.106,False
31,2.154,False
32,2.04,False
33,2.093,False
34,1.998,False
35,2.026,False
36,2.053,False
37,2.04,False
38,2.053,False
39,2.04,False
40,2.0465,True
41,2.053,False
42,2.012,False
43,2.04,False
44,2.08,False
45,1.982,False
46,2.012,False
47,1.982,False
48,2.04,False
49,1.998,False
50,2.066,False
51,2.053,False
52,2.026,False
53,2.066,False
54,2.053,False
55,2.04,False
56,2.04,False
57,2.106,False
58,2.106,False
59,2.053,False
60,2.04,False
61,2.053,False
62,2.093,False
